1707396470.318464,5,110,4.04
1707396470.318488,21,361,4.07
1707396470.318512,9,250,4.069
1707396470.450388,4,10,4.818
1707396470.450476,7,131,4.081
1707396470.450505,19,314,4.089
1707396470.450530,17,284,4.106
1707396470.450556,23,200,4.104
1707396470.450581,13,152,4.085
1707396470.450607,15,116,4.054
1707396470.450633,11,250,4.057
1707396470.450659,5,110,4.098
1707396470.450684,21,361,4.115
1707396470.450708,9,250,4.133
1707396470.583580,4,10,4.818
1707396470.583664,7,131,4.069
1707396470.583689,19,314,4.111
1707396470.583713,17,284,4.059
1707396470.583736,23,200,4.078
1707396470.583759,13,152,4.078
1707396470.583783,15,116,4.019
1707396470.583823,11,250,4.024
1707396470.583853,5,110,4.071
1707396470.583877,21,361,4.102
1707396470.583901,9,250,4.1
1707396470.717426,4,10,4.818
1707396470.717511,7,131,4.115
1707396470.717537,19,314,4.099
1707396470.717562,17,284,4.079
1707396470.717587,23,200,4.114
1707396470.717612,13,152,4.087
1707396470.717638,15,116,4.053
1707396470.717663,11,250,4.071
1707396470.717688,5,110,4.074
1707396470.717713,21,361,4.113
1707396470.717738,9,250,4.118
1707396470.850901,4,10,4.818
1707396470.850984,7,131,4.061
1707396470.851009,19,314,4.099
1707396470.851035,17,284,4.093
1707396470.851059,23,200,4.067
1707396470.851083,13,152,4.061
1707396470.851106,15,116,4.076
1707396470.851130,11,250,4.035
1707396470.851153,5,110,4.025
1707396470.851177,21,361,4.115
1707396470.851201,9,250,4.112
1707396470.984379,4,10,4.818
1707396470.984465,7,131,4.566
1707396470.984492,19,314,4.063
1707396470.984517,17,284,4.022
1707396470.984542,23,200,4.086
1707396470.984568,13,152,4.076
1707396470.984593,15,116,4.029
1707396470.984619,11,250,4.065
1707396470.984644,5,110,4.066
1707396470.984669,21,361,4.084
1707396470.984694,9,250,4.116
1707396471.116456,4,10,4.818
1707396471.116543,7,131,4.041
1707396471.116570,19,314,4.087
1707396471.116594,17,284,4.064
1707396471.116619,23,200,4.087
1707396471.116644,13,152,4.081
1707396471.116668,15,116,4.021
1707396471.116693,11,250,4.038
1707396471.116718,5,110,4.039
1707396471.116743,21,361,4.068
1707396471.116768,9,250,4.102
1707396471.250101,4,10,4.818
1707396471.250186,7,131,4.055
1707396471.250213,19,314,4.092
1707396471.250238,17,284,4.074
1707396471.250263,23,200,4.101
1707396471.250289,13,152,4.093
1707396471.250317,15,116,4.135
1707396471.250343,11,250,4.062
1707396471.250368,5,110,4.082
1707396471.250393,21,361,4.077
1707396471.250418,9,250,4.098
1707396471.382310,4,10,4.818
1707396471.382396,7,131,4.072
1707396471.382422,19,314,4.098
1707396471.382447,17,284,4.078
1707396471.382472,23,200,4.098
1707396471.382497,13,152,4.099
1707396471.382522,15,116,4.045
1707396471.382546,11,250,4.067
1707396471.382571,5,110,4.069
1707396471.382596,21,361,4.046
1707396471.382620,9,250,4.071
1707396471.514036,4,10,4.818
1707396471.514121,7,161,3.164
1707396471.514147,19,314,3.181
1707396471.514173,17,284,3.19
1707396471.514197,23,200,3.176
1707396471.514222,13,182,3.15
1707396471.514247,15,116,3.238
1707396471.514272,11,250,3.227
1707396471.514297,5,110,3.196
1707396471.514322,21,361,3.194
1707396471.514347,9,250,3.19
1707396471.646063,4,10,4.818
1707396471.646145,7,206,3.254
1707396471.646171,19,314,3.259
1707396471.646195,17,284,3.235
1707396471.646219,23,200,3.24
1707396471.646243,13,211,3.251
1707396471.646268,15,116,3.22
1707396471.646292,11,250,3.255
1707396471.646316,5,110,3.264
